Tanggal,ID_Raw,ID_Cleaned,Pukul,Katulampa (air),Katulampa (cuaca),Depok (air),Depok (cuaca),Manggarai (air),Manggarai (cuaca),Karet (air),Karet (cuaca),Krukut (air),Krukut (cuaca),Pesanggrahan (air),Pesanggrahan (cuaca),Angke (air),Angke (cuaca),Pluit (air),Pluit (cuaca),Pasar Ikan (air),Pasar Ikan (cuaca),Cipinang (air),Cipinang (cuaca),Sunter (air),Sunter (cuaca),Pulo Gadung (air),Pulo Gadung (cuaca)
16/10/2021,194,140,00:00,10,Mendung,80,Terang,555,Terang,25,Terang,60,Terang,100,Terang,50,Terang,-190,Terang,-190,Terang,90,Terang,80,Terang,330,Terang
16/10/2021,193,141,01:00,10,Mendung Tipis,95,Terang,555,Terang,250,Terang,50,Terang,85,Terang,55,Terang,-190,Terang,155,Terang,90,Terang,80,Terang,330,Terang
16/10/2021,192,142,02:00,10,Mendung Tipis,95,Terang,555,Terang,250,Terang,50,Terang,85,Terang,55,Terang,-190,Terang,155,Terang,90,Terang,80,Terang,330,Terang
16/10/2021,191,143,03:00,10,Mendung Tipis,90,Terang,555,Terang,250,Terang,50,Terang,85,Terang,50,Terang,-190,Terang,140,Terang,90,Terang,80,Terang,330,Terang
16/10/2021,190,144,04:00,10,Mendung Tipis,90,Terang,560,Terang,250,Terang,50,Terang,85,Terang,50,Terang,-190,Terang,146,Terang,90,Terang,80,Terang,330,Terang
16/10/2021,189,145,05:00,10,Mendung Tipis,85,Terang,565,Terang,250,Terang,40,Terang,80,Terang,50,Terang,-190,Terang,150,Terang,90,Terang,80,Terang,330,Terang
16/10/2021,188,146,06:00,10,Terang,85,Terang,565,Terang,250,Terang,30,Terang,75,Terang,50,Terang,-190,Terang,163,Terang,90,Terang,80,Terang,330,Terang
16/10/2021,187,147,07:00,10,Terang,85,Terang,565,Terang,250,Terang,30,Terang,75,Terang,45,Terang,-190,Terang,180,Terang,90,Terang,80,Terang,330,Terang
16/10/2021,186,148,08:00,10,Terang,80,Terang,560,Terang,250,Terang,30,Terang,75,Terang,50,Terang,-190,Terang,182,Terang,80,Terang,80,Terang,330,Terang
16/10/2021,185,149,09:00,10,Terang,80,Terang,560,Terang,250,Terang,20,Terang,75,Terang,50,Terang,-190,Terang,190,Terang,90,Terang,80,Terang,330,Terang
16/10/2021,184,150,10:00,10,Terang,80,Terang,560,Terang,250,Terang,20,Terang,70,Terang,50,Terang,-185,Terang,200,Terang,80,Terang,80,Terang,330,Terang
16/10/2021,183,151,11:00,10,Terang,80,Terang,565,Terang,250,Terang,20,Terang,70,Mendung Tipis,45,Terang,-185,Terang,200,Terang,80,Terang,80,Terang,330,Terang
16/10/2021,182,152,12:00,10,Terang,80,Terang,570,Terang,250,Terang,20,Terang,70,Mendung Tipis,45,Terang,-185,Terang,203,Terang,80,Terang,80,Terang,330,Terang
16/10/2021,181,153,13:00,10,Terang,80,Gerimis,570,Terang,250,Terang,20,Terang,60,Mendung Tipis,40,Terang,-180,Terang,195,Terang,80,Terang,80,Terang,330,Terang
16/10/2021,180,154,14:00,10,Terang,80,Mendung Tipis,570,Terang,250,Terang,20,Hujan,60,Mendung,40,Terang,-180,Terang,190,Terang,80,Hujan,80,Hujan,330,Terang
16/10/2021,179,155,15:00,10,Terang,80,Mendung,570,Terang,250,Terang,20,Gerimis,70,Mendung,40,Terang,-180,Terang,188,Terang,115,Gerimis,80,Mendung Tipis,330,Terang
16/10/2021,178,156,16:00,10,Mendung Tipis,80,Mendung Tipis,570,Terang,250,Terang,20,Mendung,70,Mendung Tipis,40,Terang,-180,Terang,197,Terang,125,Gerimis,80,Terang,330,Terang
16/10/2021,177,157,17:00,10,Mendung Tipis,80,Mendung Tipis,570,Terang,250,Terang,20,Mendung,70,Mendung Tipis,40,Terang,-180,Terang,202,Terang,125,Mendung,80,Terang,330,Terang
16/10/2021,176,158,18:00,10,Mendung Tipis,80,Mendung Tipis,570,Terang,250,Terang,20,Mendung,70,Mendung Tipis,40,Terang,-180,Terang,200,Terang,125,Mendung,90,Terang,330,Terang
16/10/2021,175,159,19:00,10,Mendung Tipis,80,Mendung Tipis,585,Terang,250,Terang,20,Mendung Tipis,70,Mendung Tipis,40,Terang,-180,Terang,203,Terang,125,Mendung,90,Terang,330,Terang
16/10/2021,174,160,20:00,10,Mendung Tipis,80,Mendung Tipis,600,Terang,260,Terang,20,Mendung Tipis,70,Mendung Tipis,40,Terang,-180,Terang,200,Terang,115,Mendung Tipis,90,Terang,330,Terang
16/10/2021,173,161,21:00,10,Terang,85,Terang,565,Terang,250,Terang,30,Terang,75,Terang,45,Terang,-190,Terang,180,Terang,90,Terang,80,Terang,330,Terang
16/10/2021,172,162,22:00,10,Terang,85,Terang,565,Terang,250,Terang,30,Terang,75,Terang,45,Terang,-190,Terang,180,Terang,90,Terang,80,Terang,330,Terang
16/10/2021,171,163,23:00,10,Terang,85,Terang,565,Terang,250,Terang,30,Terang,75,Terang,45,Terang,-190,Terang,180,Terang,90,Terang,80,Terang,330,Terang
17/10/2021,219,164,00:00,20,Mendung,80,Mendung Tipis,590,Terang,260,Terang,20,Mendung Tipis,70,Mendung Tipis,60,Terang,-185,Terang,180,Terang,115,Terang,90,Terang,330,Terang
17/10/2021,218,165,01:00,20,Mendung Tipis,80,Mendung Tipis,575,Terang,260,Terang,20,Mendung Tipis,70,Mendung Tipis,60,Mendung Tipis,-190,Terang,169,Terang,115,Terang,80,Terang,330,Terang
17/10/2021,217,166,02:00,10,Mendung Tipis,80,Mendung Tipis,570,Terang,260,Terang,20,Terang,70,Mendung Tipis,60,Mendung Tipis,-190,Terang,178,Terang,115,Terang,80,Terang,330,Terang
17/10/2021,216,167,03:00,10,Mendung Tipis,80,Mendung Tipis,565,Terang,250,Terang,20,Terang,70,Mendung Tipis,50,Mendung Tipis,-190,Terang,155,Terang,115,Terang,80,Terang,330,Terang
17/10/2021,215,168,04:00,10,Mendung Tipis,80,Mendung Tipis,560,Terang,250,Terang,20,Terang,70,Mendung Tipis,60,Mendung Tipis,-190,Terang,155,Terang,115,Terang,80,Terang,330,Terang
17/10/2021,214,169,05:00,10,Mendung Tipis,85,Mendung Tipis,560,Terang,250,Terang,20,Terang,70,Mendung Tipis,50,Mendung Tipis,-190,Terang,156,Terang,115,Terang,80,Terang,330,Terang
17/10/2021,213,170,06:00,10,Terang,95,Mendung Tipis,560,Terang,250,Terang,20,Mendung Tipis,70,Mendung Tipis,40,Terang,-190,Terang,160,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,212,171,07:00,10,Terang,90,Terang,555,Terang,250,Terang,20,Terang,70,Terang,40,Terang,-190,Terang,178,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,211,172,08:00,10,Terang,90,Terang,560,Terang,250,Terang,20,Terang,70,Terang,40,Terang,-190,Terang,194,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,210,173,09:00,10,Terang,90,Terang,560,Terang,250,Terang,20,Terang,70,Terang,40,Terang,-190,Terang,203,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,209,174,10:00,10,Terang,85,Terang,560,Terang,250,Terang,20,Terang,65,Terang,40,Terang,-190,Terang,212,Terang,85,Terang,90,Terang,330,Terang
17/10/2021,208,175,11:00,10,Terang,85,Terang,560,Terang,250,Terang,20,Terang,65,Terang,40,Terang,-185,Terang,208,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,207,176,12:00,10,Terang,80,Terang,560,Terang,250,Terang,20,Terang,65,Terang,40,Terang,-185,Terang,203,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,206,177,13:00,10,Terang,80,Terang,560,Terang,250,Terang,20,Terang,60,Terang,40,Terang,-185,Terang,200,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,205,178,14:00,10,Terang,80,Terang,565,Terang,250,Terang,20,Terang,65,Terang,40,Terang,-180,Terang,200,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,204,179,15:00,10,Mendung Tipis,80,Terang,570,Terang,250,Terang,20,Terang,65,Mendung Tipis,40,Terang,-180,Terang,200,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,203,180,16:00,10,Mendung Tipis,80,Mendung Tipis,575,Terang,250,Terang,20,Terang,65,Mendung Tipis,40,Terang,-180,Terang,194,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,202,181,17:00,10,Mendung Tipis,80,Mendung Tipis,575,Terang,250,Terang,20,Mendung Tipis,65,Mendung Tipis,40,Terang,-180,Terang,205,Terang,80,Terang,80,Terang,330,Terang
17/10/2021,201,182,18:00,10,Mendung,80,Mendung Tipis,580,Terang,250,Terang,20,Mendung Tipis,65,Mendung Tipis,40,Terang,-190,Terang,205,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,200,183,19:00,10,Mendung Tipis,80,Terang,575,Terang,250,Terang,20,Mendung Tipis,65,Mendung Tipis,40,Terang,-180,Terang,203,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,199,184,20:00,10,Mendung Tipis,85,Mendung Tipis,575,Terang,250,Terang,20,Mendung Tipis,60,Mendung Tipis,40,Terang,-180,Mendung Tipis,210,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,198,185,21:00,10,Mendung Tipis,85,Terang,570,Terang,250,Terang,20,Mendung Tipis,60,Mendung Tipis,40,Terang,-180,Mendung Tipis,200,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,197,186,22:00,10,Mendung Tipis,85,Terang,570,Terang,250,Terang,20,Mendung Tipis,60,Mendung Tipis,40,Terang,-185,Mendung Tipis,195,Terang,85,Terang,80,Terang,330,Terang
17/10/2021,196,187,23:00,20,Mendung Tipis,85,Gerimis,570,Terang,250,Terang,20,Terang,60,Mendung Tipis,70,Terang,-185,Mendung,190,Terang,85,Terang,80,Terang,330,Terang
18/10/2021,243,188,00:00,20,Mendung Tipis,85,Hujan,570,Terang,250,Terang,20,Terang,60,Mendung,60,Terang,-185,Mendung,180,Terang,85,Hujan,80,Terang,330,Terang
18/10/2021,242,189,01:00,10,Mendung Tipis,85,Gerimis,560,Mendung,250,Terang,20,Mendung,60,Mendung,40,Terang,-185,Mendung,178,Terang,85,Hujan,80,Mendung,330,Terang
18/10/2021,241,190,02:00,10,Mendung Tipis,85,Hujan,560,Mendung,250,Terang,20,Mendung Tipis,60,Mendung,40,Terang,-185,Mendung,170,Terang,85,Mendung,80,Terang,330,Terang
18/10/2021,240,191,03:00,10,Mendung Tipis,85,Mendung,560,Hujan,250,Hujan,20,Mendung,60,Mendung,40,Terang,-185,Mendung,165,Mendung,85,Mendung,80,Terang,330,Terang
18/10/2021,239,192,04:00,10,Gerimis,95,Gerimis,560,Gerimis,260,Gerimis,20,Gerimis,60,Mendung,40,Mendung,-190,Hujan,168,Hujan,85,Mendung,80,Mendung,330,Gerimis
18/10/2021,238,193,05:00,10,Gerimis,100,Gerimis,595,Mendung,290,Mendung,20,Mendung,60,Mendung,40,Mendung,-180,Mendung,168,Gerimis,85,Mendung,80,Mendung,330,Gerimis
18/10/2021,237,194,06:00,10,Mendung Tipis,100,Mendung,580,Terang,290,Mendung Tipis,20,Mendung,70,Terang,40,Mendung Tipis,-165,Mendung,180,Mendung Tipis,85,Mendung Tipis,100,Terang,330,Mendung Tipis
18/10/2021,236,195,07:00,10,Terang,110,Terang,580,Terang,290,Terang,30,Terang,90,Terang,100,Mendung Tipis,-160,Terang,190,Terang,100,Mendung Tipis,100,Terang,330,Terang
18/10/2021,235,196,08:00,10,Terang,105,Terang,10,Terang,280,Terang,30,Terang,90,Terang,100,Mendung Tipis,-155,Mendung,209,Terang,100,Mendung Tipis,100,Terang,330,Terang
18/10/2021,234,197,09:00,10,Terang,95,Hujan,580,Gerimis,270,Gerimis,30,Hujan,80,Mendung,110,Mendung,-150,Mendung,205,Gerimis,100,Hujan,100,Mendung Tipis,340,Mendung Tipis
18/10/2021,,198,10:00,,,,,,,,,,,,,,,,,,,,,,,,
18/10/2021,233,199,11:00,10,Gerimis,105,Mendung,600,Mendung,270,Mendung,60,Mendung,105,Gerimis,125,Mendung,-155,Gerimis,209,Gerimis,110,Mendung,100,Gerimis,340,Mendung Tipis
18/10/2021,232,200,12:00,10,Gerimis,105,Gerimis,605,Gerimis,280,Gerimis,60,Gerimis,105,Mendung,125,Gerimis,-160,Gerimis,210,Gerimis,120,Hujan,105,Hujan,391,Gerimis
18/10/2021,231,201,13:00,10,Gerimis,105,Gerimis,605,Gerimis,280,Gerimis,60,Gerimis,105,Mendung,125,Gerimis,-160,Gerimis,210,Gerimis,120,Hujan,105,Hujan,391,Gerimis
18/10/2021,230,202,14:00,10,Gerimis,95,Gerimis,635,Gerimis,290,Gerimis,60,Gerimis,105,Gerimis,110,Gerimis,-160,Hujan,205,Gerimis,120,Hujan,115,Hujan,369,Gerimis
18/10/2021,229,203,15:00,10,Gerimis,95,Gerimis,640,Gerimis,300,Gerimis,50,Gerimis,105,Gerimis,100,Gerimis,-160,Hujan,209,Hujan,135,Hujan,130,Gerimis,367,Gerimis
18/10/2021,228,204,16:00,20,Gerimis,95,Gerimis,650,Gerimis,310,Gerimis,60,Gerimis,115,Gerimis,90,Gerimis,-160,Gerimis,205,Gerimis,135,Gerimis,130,Gerimis,367,Gerimis
18/10/2021,227,205,17:00,20,Gerimis,95,Mendung,650,Gerimis,310,Gerimis,60,Gerimis,110,Gerimis,90,Gerimis,-160,Gerimis,199,Gerimis,135,Gerimis,120,Mendung,373,Gerimis
18/10/2021,226,206,18:00,10,Mendung,95,Mendung,645,Mendung,320,Mendung,60,Mendung,110,Mendung,90,Mendung,-185,Mendung,185,Mendung,135,Gerimis,120,Mendung,375,Mendung
18/10/2021,225,207,19:00,10,Mendung,95,Mendung,645,Mendung,320,Mendung,60,Mendung Tipis,110,Mendung,95,Mendung,-165,Mendung,185,Mendung,125,Mendung Tipis,115,Mendung,367,Mendung
18/10/2021,224,208,20:00,10,Mendung,95,Mendung,640,Mendung,310,Mendung,60,Mendung Tipis,110,Mendung,100,Mendung,-165,Mendung,189,Mendung Tipis,125,Mendung Tipis,115,Mendung,367,Mendung
18/10/2021,223,209,21:00,10,Gerimis,95,Mendung Tipis,635,Mendung Tipis,310,Mendung,60,Terang,100,Mendung,100,Terang,-165,Mendung,190,Terang,125,Mendung Tipis,115,Mendung,347,Mendung
18/10/2021,222,210,22:00,10,Mendung,100,Mendung Tipis,625,Terang,310,Mendung,50,Terang,100,Mendung,100,Terang,-165,Mendung,183,Mendung Tipis,120,Mendung Tipis,105,Mendung Tipis,347,Mendung
18/10/2021,221,211,23:00,10,Terang,100,Terang,620,Terang,300,Mendung Tipis,50,Terang,95,Mendung Tipis,95,Terang,-170,Gerimis,181,Terang,120,Mendung Tipis,105,Mendung,332,Mendung
19/10/2021,268,212,00:00,10,Mendung,100,Terang,620,Terang,300,Mendung Tipis,-170,Mendung,100,Mendung Tipis,90,Terang,-170,Mendung,175,Terang,120,Mendung Tipis,105,Mendung Tipis,332,Mendung
19/10/2021,267,213,01:00,10,Mendung Tipis,95,Terang,605,Terang,290,Mendung Tipis,40,Terang,90,Mendung Tipis,85,Terang,-170,Mendung,155,Terang,120,Mendung Tipis,105,Mendung Tipis,332,Mendung
19/10/2021,266,214,02:00,10,Mendung Tipis,95,Terang,600,Mendung Tipis,290,Mendung Tipis,40,Terang,85,Mendung Tipis,80,Terang,-175,Mendung Tipis,170,Terang,120,Mendung Tipis,105,Mendung Tipis,332,Mendung
19/10/2021,265,215,03:00,10,Mendung Tipis,95,Terang,600,Mendung Tipis,280,Terang,40,Terang,80,Terang,80,Terang,-180,Mendung Tipis,165,Terang,120,Mendung Tipis,105,Terang,332,Mendung Tipis
19/10/2021,264,216,04:00,10,Mendung Tipis,90,Terang,600,Mendung Tipis,270,Terang,40,Terang,80,Terang,75,Terang,-180,Terang,150,Terang,110,Terang,90,Terang,332,Terang
19/10/2021,263,217,05:00,10,Mendung Tipis,90,Terang,595,Mendung Tipis,260,Terang,30,Terang,80,Terang,70,Terang,-180,Terang,160,Terang,120,Mendung Tipis,90,Terang,330,Mendung
19/10/2021,262,218,06:00,10,Terang,90,Terang,595,Terang,260,Terang,30,Terang,70,Terang,65,Terang,-185,Terang,178,Terang,110,Terang,90,Terang,330,Terang
19/10/2021,261,219,07:00,10,Terang,90,Terang,595,Terang,250,Terang,30,Terang,60,Terang,60,Terang,-190,Terang,180,Terang,90,Terang,90,Terang,330,Terang
19/10/2021,260,220,08:00,10,Terang,90,Terang,595,Terang,250,Terang,30,Terang,70,Terang,55,Terang,-190,Terang,190,Terang,90,Terang,90,Terang,330,Terang
19/10/2021,259,221,09:00,10,Terang,85,Terang,595,Terang,260,Terang,30,Terang,70,Terang,55,Terang,-190,Terang,192,Terang,90,Terang,90,Terang,330,Terang
19/10/2021,258,222,10:00,10,Terang,90,Terang,595,Terang,260,Terang,30,Terang,70,Terang,55,Terang,-190,Terang,205,Terang,90,Terang,90,Terang,330,Terang
19/10/2021,257,223,11:00,10,Terang,85,Terang,590,Terang,260,Terang,30,Terang,70,Terang,55,Terang,-185,Terang,205,Terang,90,Terang,90,Terang,330,Terang
19/10/2021,256,224,12:00,10,Terang,85,Terang,590,Terang,260,Terang,30,Terang,65,Terang,55,Terang,-185,Terang,190,Terang,90,Terang,90,Terang,330,Terang
19/10/2021,255,225,13:00,10,Mendung Tipis,85,Terang,585,Terang,260,Terang,30,Terang,65,Terang,55,Terang,-185,Terang,185,Terang,90,Terang,90,Terang,330,Terang
19/10/2021,254,226,14:00,10,Mendung Tipis,85,Terang,570,Terang,260,Terang,30,Terang,65,Terang,55,Terang,-180,Terang,180,Mendung Tipis,90,Terang,90,Terang,330,Terang
19/10/2021,253,227,15:00,10,Mendung Tipis,85,Mendung Tipis,570,Terang,260,Terang,20,Mendung Tipis,70,Hujan,55,Terang,-180,Terang,172,Terang,90,Terang,90,Mendung Tipis,330,Terang
19/10/2021,252,228,16:00,10,Gerimis,85,Hujan,580,Mendung Tipis,260,Terang,20,Gerimis,165,Gerimis,55,Mendung,-180,Mendung,170,Mendung,90,Hujan,90,Mendung,330,Mendung
19/10/2021,251,229,17:00,10,Gerimis,100,Gerimis,580,Terang,260,Terang,90,Gerimis,180,Gerimis,130,Terang,-180,Mendung,152,Mendung Tipis,115,Mendung,90,Gerimis,330,Mendung
19/10/2021,250,230,18:00,30,Mendung,165,Mendung,580,Mendung Tipis,260,Terang,100,Mendung,160,Mendung,170,Terang,-180,Mendung,152,Terang,115,Mendung Tipis,110,Mendung Tipis,330,Mendung Tipis
19/10/2021,249,231,19:00,20,Mendung,175,Mendung,580,Mendung Tipis,260,Terang,100,Mendung Tipis,145,Mendung Tipis,180,Terang,-180,Terang,150,Mendung Tipis,125,Mendung Tipis,135,Mendung Tipis,330,Mendung Tipis
19/10/2021,248,232,20:00,20,Mendung,180,Mendung,580,Mendung Tipis,250,Terang,90,Terang,145,Mendung Tipis,180,Terang,-185,Terang,165,Terang,125,Mendung,130,Terang,330,Terang
19/10/2021,247,233,21:00,20,Mendung,150,Terang,580,Mendung Tipis,250,Terang,70,Terang,150,Terang,180,Terang,-185,Terang,180,Terang,125,Mendung,125,Terang,330,Terang
19/10/2021,246,234,22:00,20,Mendung,130,Mendung Tipis,580,Terang,250,Terang,90,Terang,160,Terang,180,Terang,-185,Terang,155,Terang,120,Terang,125,Terang,330,Mendung Tipis
19/10/2021,245,235,23:00,20,Mendung,120,Mendung Tipis,580,Terang,250,Terang,100,Terang,160,Terang,140,Terang,-185,Terang,167,Terang,120,Terang,110,Terang,330,Terang
20/10/2021,293,236,00:00,10,Terang,120,Terang,595,Terang,260,Terang,100,Terang,160,Terang,125,Terang,-185,Terang,162,Terang,120,Terang,100,Terang,330,Terang
20/10/2021,292,237,01:00,10,Mendung,115,Mendung Tipis,645,Terang,270,Terang,90,Terang,170,Terang,110,Terang,-185,Terang,160,Terang,120,Terang,100,Terang,330,Terang
20/10/2021,291,238,02:00,10,Mendung,115,Mendung Tipis,685,Terang,300,Terang,90,Terang,170,Terang,105,Terang,-190,Terang,154,Terang,95,Terang,100,Terang,330,Terang
20/10/2021,290,239,03:00,10,Mendung,110,Mendung Tipis,705,Terang,320,Terang,70,Terang,170,Terang,100,Terang,-190,Terang,152,Terang,95,Terang,100,Terang,330,Terang
20/10/2021,289,240,04:00,10,Mendung,110,Mendung Tipis,715,Terang,400,Terang,60,Terang,170,Terang,100,Terang,-190,Terang,160,Terang,95,Terang,100,Terang,330,Terang
20/10/2021,288,241,05:00,10,Mendung Tipis,105,Terang,705,Terang,400,Terang,60,Terang,145,Terang,100,Terang,-190,Terang,167,Terang,95,Terang,100,Terang,330,Terang
20/10/2021,287,242,06:00,10,Terang,105,Terang,705,Terang,400,Terang,60,Terang,125,Terang,100,Terang,-190,Terang,166,Terang,95,Terang,100,Terang,330,Terang
20/10/2021,286,243,07:00,10,Terang,100,Mendung Tipis,680,Terang,350,Terang,50,Mendung Tipis,125,Terang,70,Terang,-190,Terang,180,Terang,90,Terang,95,Terang,330,Terang
20/10/2021,285,244,08:00,10,Terang,100,Terang,670,Terang,330,Terang,50,Terang,120,Terang,115,Terang,-190,Terang,193,Terang,90,Terang,95,Terang,330,Terang
20/10/2021,284,245,09:00,10,Terang,100,Terang,660,Terang,320,Terang,50,Terang,120,Terang,120,Terang,-190,Terang,208,Terang,90,Terang,95,Terang,330,Terang
20/10/2021,283,246,10:00,10,Terang,100,Terang,650,Terang,320,Terang,50,Terang,120,Terang,120,Terang,-190,Terang,204,Terang,90,Terang,90,Terang,330,Terang
20/10/2021,282,247,11:00,10,Terang,100,Terang,640,Terang,300,Terang,50,Terang,120,Terang,125,Terang,-190,Terang,200,Terang,90,Terang,90,Terang,330,Terang
20/10/2021,281,248,12:00,10,Terang,100,Terang,635,Terang,300,Gerimis,50,Terang,110,Terang,125,Terang,-185,Terang,204,Terang,90,Terang,90,Terang,330,Terang
20/10/2021,280,249,13:00,10,Terang,10,Terang,635,Terang,300,Gerimis,50,Terang,110,Terang,125,Terang,-185,Terang,190,Terang,90,Terang,90,Terang,330,Terang
20/10/2021,279,250,14:00,10,Terang,100,Terang,625,Terang,290,Terang,50,Terang,110,Terang,125,Terang,-180,Terang,195,Terang,90,Terang,90,Terang,330,Terang
20/10/2021,278,251,15:00,10,Terang,100,Terang,620,Terang,290,Terang,40,Terang,100,Terang,135,Terang,-180,Terang,190,Terang,90,Terang,90,Terang,330,Terang
20/10/2021,277,252,16:00,10,Mendung,95,Mendung,620,Terang,290,Terang,40,Mendung,100,Terang,135,Terang,-180,Terang,186,Terang,95,Mendung,90,Terang,330,Terang
20/10/2021,276,253,17:00,10,Mendung,95,Mendung,615,Mendung,290,Terang,50,Gerimis,100,Terang,135,Terang,-180,Terang,175,Terang,95,Mendung,90,Gerimis,330,Terang
20/10/2021,275,254,18:00,10,Mendung,100,Gerimis,610,Mendung,290,Mendung,40,Gerimis,100,Terang,140,Terang,-185,Terang,168,Terang,95,Mendung,90,Mendung,330,Terang
20/10/2021,274,255,19:00,10,Mendung,100,Mendung,610,Mendung,280,Mendung,40,Mendung,100,Terang,145,Terang,-185,Terang,163,Terang,115,Gerimis,90,Mendung,330,Terang
20/10/2021,273,256,20:00,10,Mendung,100,Mendung,605,Mendung,280,Mendung,40,Mendung,80,Mendung,145,Terang,-185,Mendung,160,Mendung,115,Gerimis,90,Mendung,330,Terang
20/10/2021,272,257,21:00,10,Mendung Tipis,100,Mendung Tipis,605,Terang,280,Mendung Tipis,40,Mendung,80,Mendung Tipis,145,Terang,-185,Mendung Tipis,164,Mendung Tipis,115,Mendung,100,Mendung Tipis,330,Terang
20/10/2021,271,258,22:00,10,Mendung,100,Mendung,600,Gerimis,280,Mendung,50,Mendung,90,Mendung,145,Terang,-190,Hujan,174,Gerimis,115,Mendung,100,Gerimis,330,Terang
20/10/2021,270,259,23:00,10,Mendung,100,Mendung,640,Hujan,310,Hujan,50,Mendung,90,Mendung,145,Terang,-190,Hujan,170,Hujan,115,Gerimis,100,Mendung,400,Gerimis
21/10/2021,318,260,00:00,10,Mendung Tipis,95,Mendung Tipis,650,Mendung,400,Hujan,40,Mendung,90,Mendung Tipis,125,Hujan,-185,Hujan,167,Gerimis,115,Gerimis,100,Gerimis,460,Gerimis
21/10/2021,317,261,01:00,10,Mendung Tipis,90,Mendung,615,Gerimis,420,Hujan,40,Mendung,90,Mendung Tipis,140,Mendung,-175,Hujan,165,Gerimis,115,Mendung,100,Mendung,470,Gerimis
21/10/2021,316,262,02:00,10,Mendung Tipis,90,Mendung,610,Mendung,380,Mendung,40,Mendung,90,Mendung Tipis,145,Mendung,-165,Gerimis,162,Gerimis,115,Mendung,100,Mendung,450,Mendung
21/10/2021,315,263,03:00,10,Mendung Tipis,90,Mendung,605,Mendung,340,Mendung,40,Mendung,90,Mendung Tipis,145,Mendung,-160,Gerimis,174,Hujan,115,Mendung,100,Mendung,410,Mendung
21/10/2021,314,264,04:00,10,Mendung Tipis,90,Mendung,600,Mendung,300,Mendung,40,Mendung,90,Mendung Tipis,190,Mendung,-155,Terang,180,Mendung,115,Mendung,100,Mendung,450,Mendung
21/10/2021,313,265,05:00,10,Mendung Tipis,85,Mendung Tipis,600,Mendung,290,Mendung Tipis,40,Mendung,90,Mendung Tipis,200,Mendung,-155,Mendung,180,Mendung,115,Mendung,100,Mendung Tipis,410,Mendung
21/10/2021,312,266,06:00,10,Mendung Tipis,85,Mendung Tipis,600,Mendung,280,Mendung Tipis,40,Mendung,90,Mendung Tipis,200,Mendung,-150,Mendung,200,Mendung,115,Mendung,100,Mendung Tipis,360,Mendung
21/10/2021,311,267,07:00,10,Terang,85,Terang,595,Terang,280,Terang,30,Terang,90,Mendung Tipis,200,Mendung,-155,Terang,192,Mendung Tipis,90,Mendung Tipis,90,Terang,330,Mendung Tipis
21/10/2021,310,268,08:00,10,Terang,85,Terang,595,Terang,270,Terang,30,Terang,90,Terang,200,Mendung,-150,Mendung,199,Terang,90,Mendung Tipis,90,Terang,330,Mendung Tipis
21/10/2021,309,269,09:00,10,Terang,85,Terang,595,Terang,280,Terang,30,Mendung Tipis,85,Mendung Tipis,175,Terang,-155,Mendung,212,Terang,90,Terang,90,Terang,330,Terang
21/10/2021,308,270,10:00,10,Terang,85,Terang,595,Terang,270,Terang,30,Terang,85,Terang,160,Terang,-155,Terang,205,Terang,90,Terang,90,Terang,330,Mendung
21/10/2021,307,271,11:00,10,Terang,85,Terang,590,Mendung,270,Terang,30,Mendung Tipis,80,Terang,155,Terang,-155,Mendung,205,Mendung Tipis,90,Mendung Tipis,90,Mendung Tipis,330,Gerimis
21/10/2021,306,272,12:00,10,Terang,85,Terang,590,Terang,280,Hujan,30,Terang,80,Terang,145,Mendung,-155,Terang,200,Terang,90,Terang,90,Terang,330,Mendung Tipis
21/10/2021,305,273,13:00,10,Terang,85,Mendung Tipis,590,Terang,290,Terang,40,Terang,80,Terang,135,Mendung,-160,Terang,203,Terang,90,Terang,90,Terang,344,Mendung Tipis
21/10/2021,304,274,14:00,10,Terang,85,Terang,580,Terang,290,Terang,30,Terang,80,Terang,130,Terang,-160,Terang,208,Terang,90,Terang,90,Terang,344,Terang
21/10/2021,303,275,15:00,10,Gerimis,85,Terang,580,Terang,250,Terang,30,Terang,80,Terang,110,Terang,-160,Terang,195,Terang,90,Terang,90,Terang,344,Terang
21/10/2021,302,276,16:00,10,Gerimis,85,Mendung,580,Terang,260,Terang,30,Mendung,80,Mendung,100,Terang,-160,Terang,183,Terang,90,Terang,90,Terang,332,Terang
21/10/2021,301,277,17:00,10,Gerimis,85,Gerimis,580,Mendung,260,Mendung,20,Hujan,80,Gerimis,90,Terang,-165,Terang,185,Terang,90,Terang,90,Terang,332,Mendung
